Record Length,Analog:3500,
Sample Interval,Analog:2.000000E-09,
Vertical Units,CH1:V, CH2:V, CH3:V,,
Vertical Scale,CH1:+2.000000E+00, CH2:+2.000000E+00, CH3:+5.000000E-04,,
Vertical Offset,CH1:+0.000000E+00, CH2:+0.000000E+00, CH3:+0.000000E+00,,
Horizontal Units,us,
Horizontal Scale,+5.000000E-01,
Model Number,T3DSO1204 ,
Serial Number,T0101C21531109,
Software Version,8.3.6.1.37R8,
Source,CH1,CH2,CH3
Second,Value,Value,Value
-2.300000E-07,-1.600000E-01,+0.000000E+00,-3.200000E-04
-2.280000E-07,-1.600000E-01,+0.000000E+00,-3.000000E-04
-2.260000E-07,-1.600000E-01,+0.000000E+00,-2.600000E-04
-2.240000E-07,-1.600000E-01,+0.000000E+00,-2.200000E-04
-2.220000E-07,-1.600000E-01,+0.000000E+00,-1.800000E-04
-2.200000E-07,-1.600000E-01,+0.000000E+00,-1.400000E-04
-2.180000E-07,-1.600000E-01,+0.000000E+00,-2.200000E-04
-2.160000E-07,-1.600000E-01,+0.000000E+00,-2.400000E-04
-2.140000E-07,-1.600000E-01,+0.000000E+00,-2.600000E-04
-2.120000E-07,-1.600000E-01,+0.000000E+00,-2.800000E-04
-2.100000E-07,-1.600000E-01,+0.000000E+00,-3.000000E-04
-2.080000E-07,-1.600000E-01,+0.000000E+00,-2.800000E-04
-2.060000E-07,-1.600000E-01,+0.000000E+00,-2.800000E-04
-2.040000E-07,-1.600000E-01,+0.000000E+00,-2.000000E-04
-2.020000E-07,-1.600000E-01,+0.000000E+00,-1.600000E-04
-2.000000E-07,-1.600000E-01,+0.000000E+00,-1.400000E-04
-1.980000E-07,-1.600000E-01,+0.000000E+00,-1.800000E-04
-1.960000E-07,-1.600000E-01,+0.000000E+00,-2.600000E-04
-1.940000E-07,-1.600000E-01,+0.000000E+00,-3.000000E-04
-1.920000E-07,-1.600000E-01,+0.000000E+00,-3.200000E-04
-1.900000E-07,-1.600000E-01,+0.000000E+00,-3.200000E-04
-1.880000E-07,-1.600000E-01,+0.000000E+00,-2.600000E-04
-1.860000E-07,-1.600000E-01,+0.000000E+00,-2.600000E-04
-1.840000E-07,-1.600000E-01,+0.000000E+00,-2.000000E-04
-1.820000E-07,-1.600000E-01,+0.000000E+00,-2.000000E-04
-1.800000E-07,-1.600000E-01,+0.000000E+00,-1.400000E-04
-1.780000E-07,-1.600000E-01,+0.000000E+00,-2.200000E-04
-1.760000E-07,-1.600000E-01,+0.000000E+00,-2.800000E-04
-1.740000E-07,-1.600000E-01,+0.000000E+00,-3.400000E-04
-1.720000E-07,-1.600000E-01,+0.000000E+00,-3.200000E-04
-1.700000E-07,-1.600000E-01,+0.000000E+00,-3.000000E-04
-1.680000E-07,-1.600000E-01,+0.000000E+00,-3.000000E-04
-1.660000E-07,-1.600000E-01,+0.000000E+00,-1.800000E-04
-1.640000E-07,-1.600000E-01,+0.000000E+00,-2.000000E-04
-1.620000E-07,-1.600000E-01,+0.000000E+00,-2.400000E-04
-1.600000E-07,-8.000000E-02,+0.000000E+00,-2.400000E-04
-1.580000E-07,-1.600000E-01,+0.000000E+00,-2.000000E-04
-1.560000E-07,-1.600000E-01,+0.000000E+00,-2.800000E-04
-1.540000E-07,-8.000000E-02,+0.000000E+00,-2.800000E-04
